,word,female_effect_size,p_value,pos
62374,Grotto,1.0128284504668092,0.0219125132552799,"[""Grotto""/INTJ]"
62383,Stephenie,1.4021164769985777,0.0024325226839502,"[""Stephenie""/PUNCT]"
62394,Furnishing,1.1460512130948175,0.0110609227964144,"[""Furnishing""/VERB]"
62400,Nautica,1.0803723528721063,0.0148139024927583,"[""Nautica""/INTJ]"
62401,Sabina,1.3155553733087908,0.003864460581675,"[""Sabina""/INTJ]"
62411,SMOKING,0.8932300101767255,0.0353933690007146,"[""SMOKING""/VERB]"
62414,accentuated,0.9479828427833767,0.0293592987579525,"[""accentuated""/VERB]"
62418,Knits,1.575360049821453,0.0007976326152444,"[""Knits""/PUNCT]"
62421,Lavish,1.3880150308686283,0.0028935634754413,"[""Lavish""/INTJ]"
62440,Balsamic,0.9454457791024348,0.0302346663957301,"[""Balsamic""/INTJ]"
62441,2008-2012,1.2472550835233005,0.0063024984626952,"[""2008-2012""/NUM]"
62452,Crepe,1.5290460097949827,0.0010662682121165,"[""Crepe""/INTJ]"
62471,AMBER,1.308837512467953,0.0041658683667388,"[""AMBER""/PROPN]"
62480,ORG,1.224721559625299,0.0070793351144556,"[""ORG""/NUM]"
62491,Expose,1.0631664467223818,0.0164798570426811,"[""Expose""/INTJ]"
62501,see-through,1.518081102137163,0.001099570028794,"[""see-through""/INTJ]"
62505,Condoleezza,0.9909207127540556,0.0237328659132952,"[""Condoleezza""/PROPN]"
62519,Elantra,1.2469081400158135,0.0056807764849782,"[""Elantra""/INTJ]"
62521,UNITS,1.056692182310776,0.0168929120804427,"[""UNITS""/ADV]"
62532,Shangri-La,1.1982929893182586,0.0090547639840397,"[""Shangri-La""/NUM]"
62545,Heartburn,1.0001264672935273,0.0215443188736471,"[""Heartburn""/INTJ]"
62550,MADISON,0.9238214403991828,0.0297333687350876,"[""MADISON""/PUNCT]"
62558,Transsexual,0.9856714470336632,0.0243708423547334,"[""Transsexual""/INTJ]"
62563,Lattice,1.217114725060992,0.0079149804539887,"[""Lattice""/NOUN]"
62566,Stitching,1.4062232802247847,0.0025788659264495,"[""Stitching""/INTJ]"
62573,Evenings,1.6230951655495285,0.0005980469862686,"[""Evenings""/NOUN]"
62575,throes,0.8338336047827954,0.0465812898749187,"[""throes""/NOUN]"
62581,parlors,0.8530208715316067,0.0447686459239915,"[""parlors""/NOUN]"
62593,Photographed,1.0186250966455732,0.0202055939336791,"[""Photographed""/INTJ]"
62602,Non-profit,1.2429306327385967,0.0060218515219536,"[""Non-profit""/INTJ]"
62604,Vip,1.009531451704175,0.0219389847663364,"[""Vip""/VERB]"
62608,mamas,1.1486801954733503,0.011570864361154,"[""mamas""/INTJ]"
62611,FSX,0.8705898700642669,0.0396287766844178,"[""FSX""/NUM]"
62619,Nudist,0.90481949352411,0.0325875170340362,"[""Nudist""/INTJ]"
62623,:58,0.8597599247869582,0.0422650815781137,"""58""/NUM]"
62638,overheated,0.914789382114839,0.033196469521699,"[""overheated""/INTJ]"
