,female_effect_size,female_p_value
venerable,-0.769194715617833,0.9368473078916846
veneration,-0.7429488962254585,0.9315864014424919
venereal,0.012720512697302467,0.4914341055689566
venetian,0.05506574336458467,0.453814971928895
vengeance,-0.43900657335729754,0.810370686310149
vengeful,0.1727317004186749,0.3661534623560625
venison,-1.3743707222899262,0.9970142071778085
venom,-0.4979548041658934,0.8398412576215757
venomous,0.030562955941413807,0.4733943573283468
venous,0.6590682858587087,0.09356730341555819
vent,0.37759698092518323,0.21796269302843396
ventilation,-0.16069474118963079,0.6245856193803093
ventilator,-0.2915975808755919,0.7226386664563715
venting,0.4804203216175067,0.16607669255215696
ventricle,-0.488052547933015,0.8390015522127503
ventricular,-0.3224223620910669,0.7405040021845053
ventriloquist,-0.5656803943002632,0.8718785546696132
venture,-0.5334683601691111,0.8553265056577433
venue,0.6934096274187964,0.08065806383892937
veracity,-0.5411498674420164,0.860747881772256
veranda,0.20084577548733018,0.3455051751935404
verb,-0.050438629164589806,0.5445694217552933
verbal,-0.6368471988097723,0.8950840681842895
verbatim,0.19037289222056522,0.351800418507936
verbiage,-0.816093488002883,0.9480060357375248
verbose,-1.7500999968050477,0.9998136056896695
verbosity,-1.644239656257464,0.9995127096991673
verdant,0.23352733994970387,0.3176309665667598
verdict,-0.6601802773463604,0.9054964233729172
verge,-0.1968442651397429,0.6565651118436387
verification,0.5387651003446355,0.1427627045455675
verified,0.2637728746529484,0.3040255775777816
verify,-0.004088679829185545,0.5027870943786269
verily,-1.0100930238096875,0.9781723631570135
veritable,-0.6983728995732126,0.9181532545978269
vermin,-1.060516235896795,0.9831969719888027
vermouth,0.00929015936977871,0.4954195266734345
vernacular,-0.8728651501398355,0.9600069782565724
vernal,0.1445637784118463,0.3764224975887486
veronica,1.3213219145196913,0.004101792350386102
versatile,-0.36521496962623756,0.764323566759481
versatility,-0.3060882409187659,0.7349321198121075
verse,-1.1585999771934485,0.9894757652954856
version,-0.006845410842327134,0.5064082370205707
versus,-0.0784907214128214,0.5649261879995588
vert,-0.8198132846356336,0.9528486711678346
vertebra,-0.3751154384262086,0.7751741787224928
vertebral,0.6398815063486297,0.0981025692292854
vertex,0.20481818973302862,0.34691105385259813
vertical,-0.9171872013658181,0.9667801056564322
vertically,-0.6381194201156829,0.8986395207011848
vertigo,0.15088488391490304,0.3789955696506506
verve,0.16622914156461727,0.35762796399562224
vesicle,-0.3483671228692703,0.7637091098035864
vesicular,0.07995924728352664,0.4321362884520267
vessel,0.6344629561513783,0.09805092914696556
vest,-0.8704921297409935,0.959766512040147
vested,-0.5737647272834836,0.8715798141297819
vestibule,0.6046954767237128,0.11124555983320672
vestige,-0.3761251435700628,0.7714361556250651
vet,-0.5149407725942572,0.8517995454763427
veteran,-1.075631196529768,0.9832954352632376
veterinarian,0.1924088893034442,0.35462094278587863
veterinary,0.28456360391001545,0.28194794928117484
veto,-1.125974446487921,0.9882672891935259
vexed,-0.39151411251498475,0.7795279906059853
viability,0.4007678764233472,0.20891091964299213
viable,0.30181934312812714,0.27637521768300943
viaduct,-0.009659861071467414,0.5062166767139316
vial,0.12238039759097129,0.4022684518193147
vibe,0.4062111444191314,0.21156397868364718
vibes,0.2993700024451662,0.2715430746534262
vibrant,1.1440756932310892,0.010482957578322516
vibrate,0.5386396129959532,0.13972624493397512
vibration,1.0194744601894623,0.022133300065019013
vibrator,1.2017525086650305,0.008200855865586831
vibratory,-0.056266835914250274,0.5469416102775713
vicar,-0.5693639230248416,0.8703984074245712
vicarious,-0.17788735186649973,0.6398545167800018
vice,-0.3232238961026287,0.7454079662214449
viceroy,-1.2175621951695448,0.9924909189992112
vicinity,-0.33987546679597974,0.7474412133499978
vicious,-0.45862557870485743,0.8190768487595477
victim,0.3963485502312346,0.21328947477527194
victimized,0.7090875360439369,0.07871797555967319
victor,-1.1985723659608343,0.9916042787704787
victoria,1.5976151246560173,0.0007026161253370633
victorious,-0.8613021929669344,0.9567301318667624
victory,-0.9833772090279149,0.9750411744459979
video,0.008290769603390914,0.49313160428926683
videotape,-0.159493995491463,0.6269957842522443
vie,0.1301842563712716,0.40059189479799384
view,-0.25294485445123643,0.6970888230648861
viewer,0.3162089675134668,0.26893401259250316
viewing,0.2956453856195158,0.27995360050015616
viewpoint,0.2885008072715345,0.28077557222073557
